PlaceName,Latitude,Longitude
"Virupapur Gadde , Sanapur post Sunnyguesthouse virapapuragaddi sanapur post gangvathi taluka Koppal dist karanataka, Hampi 583234 India",15.350264,76.455422
"Plot No - 30, Rajaram Mohan Roy Road Off Richmond Road, Bengaluru 560027 India",12.967888,77.5916707
"Allasandra Bellary Rd Yelahanka, near Jakkur Flying Club, Bengaluru 560065 India",13.1175904,77.6085818
"#479 ,O.T.C Road Cottonpet, Majestic, Bengaluru 560053 India",12.9730782,77.570724
"Cross the River from Hampi Sanapur, Hampi 583234 India",15.3350132,76.46002399999999
"R.V Layout Plot 104/1, Kumara Park West Extension, Bengaluru 560020 India",12.9955462,77.5801548
"93 Richmond Road, Bangalore, Bengaluru 560025 India",12.9669572,77.60978419999999
"71 Virupapurgaddi Sanapur Gangavathi, Hampi 583234 India",15.3350132,76.46002399999999
"273 Kadirampur Behind Canara Bank Behind Canara Bank, Hampi 583239 India",15.3115462,76.4620971
"Opp Govt. Hospital, P.K.Halli Road, Hampi 583276 India",10.994577,76.9697968
"Reservoir Road, Hampi 583234 India",15.355232,76.4342097
"Janata Plot 2nd Ward, Hampi 583239 India",15.3350132,76.46002399999999
"River Side Road, Hampi 583239 India",15.3363349,76.45720519999999
"Main Doddaballapur Road Rajankunte, Northwest Country, Bengaluru 560064 India",13.1993646,77.5617449
"Road Nanthoor Near Pumpwell Circle, Mangalore 575002 India",12.8690238,74.8643573
"Near Stone Bridge Cross, Anjanadri hill Sanapur, Anegondi, Hampi 583234 India",15.3350132,76.46002399999999
"Narayanpet, 2 Km From Basapur Village, Hampi 583239 India",16.8166501,77.6297956
"Bagalur - Devanahalli Rd Boyalahalli Village, Bengaluru 562149 India",13.1325768,77.6672134
"No 890, Anegundi Road, Hampi 583227 India",15.3932604,76.5185379
"Nandigudda Road, Mangalore 575001 India",12.8591896,74.848569
"M G Road, Mangalore 575003 India",12.8825301,74.839408
"Kankanady By-Pass Road Kanachur Complex, Opposite Sulthan Gold, Mangalore 575002 India",12.8697844,74.85837339999999
"Opp to Anjanadri Hill Temple, Hampi 563127 India",15.3350132,76.46002399999999
"Nandigudda Road Shanker Vittal HQ, Attavar, Mangalore 575001 India",12.8627459,74.8470294
"Bunts Hostel Road Near Jyothi Circle, Mangalore 575003 India",12.8750547,74.8485105
"P.K.Halli Road Near Kannada University, Kamalapura, Hospet Taluk, Hampi 583276 India",15.2857474,76.491308
"13-13-1519/1/2/3, K.S. Rao Road, Mangalore 575003 India",12.8712069,74.8420225
"K S Rao Road Hampankatta, Mangalore 575001 India",12.8717605,74.842071
"K.R Road Near Bunts Hostel Circle, Karangalpady, Mangalore 575003 India",12.8750547,74.8485105
"Dubbanashashi Road Bhavikodla, Gokarna 581319 India",14.5678921,74.3077301
"702, Survey No. 1615 A and B, Om Beach Road, Gokarna 581326 India",14.533117,74.3263378
"Gokarna Police St. Rd, Om Beach Road Banglegudda, Gokarna 581326 India",14.5439915,74.3214325
"Attavar Road near Railway Station, Mangalore 575001 India",12.8605202,74.8475459
"Balmatta Road, Mangalore 575001 India",12.8704411,74.8463756
"Old Port Road Opposite to the District Commissioner's Office, Mangalore 575001 India",12.9141417,74.8559568
"Kudle Beach Road No.295, Cp - 2850, Gokarna 581326 India",14.5432369,74.3171358
"Mani Bhadra Road, Gokarna 581326 India",14.5419715,74.31522749999999
"Kudle Beach Plot No 245 Behind Kudle Beach Parking, Gokarna 581326 India",14.5306868,74.3224755
"Om Beach Road Bungle Gudda, Gokarna 581326 India",14.5448995,74.3238998
"Om Beach Road, Gokarna 581326 India",14.533117,74.3263378
"Mw 626 By 1 Om Beach Road, Gokarna 581326 India",14.5370814,74.33277389999999
"365kw Kudle Beach, Gokarna 581326 India",14.5437315,74.3135985
"Beach Road, Gokarna 581326 India",14.5770632,74.3040372
"1020 Om Beach Rd, Gokarna  581326 India",14.5493371,74.3251487
"Main Road Gokarna, Gokarna 581326 India",14.5495881,74.3252134
"Main Road Gokarna, Gokarna 581326 India",14.5495881,74.3252134
"Gokarna main beach, near Kariyappa Katte, Bijjur, Gokarna 581326 India",14.5437352,74.3136288
"Kudle Beach Rd, Gokarna 581326 India",14.5432369,74.3171358
"State Highway 21, Virajpet 571218 India",12.1949851,75.8040022
"Om Beach Rd Kudle Beach, Gokarna 581326 India",14.5305012,74.32548190000001
"Gonikoppal - Virajpet Road 4/2 Bittangala Village, Virajpet 571218 India",12.1197402,75.88143769999999
"890/1 Gokarna Village Om Beach Road Karnataka, Gokarna 581326 India",14.533117,74.3263378
"Gowri Complex, Gonikoppal, Virajpet 571213 India",12.184729,75.9328675
"Qh Center Falnir Road, Mangalore 575002 India",12.8679782,74.8505627
"Karadigundi Estate, Devarunda, Mudigere 577132 India",13.0223668,75.6311741
"Muthigepura, Mudigere 577132 India",13.0992893,75.6469934
"MRPL Road Surathkal Junction, Mangalore 575014 India",12.9825027,74.8140513
"Heggala Kedamullur Village, Virajpet 571218 India",12.1615763,75.7553941
"Sharavathi Estate, Mudigere 577132 India",13.1365287,75.64032449999999
"Nangala Road Bittangala Post, Virajpet 571218 India",12.1597968,75.8324325
"Balmatta-Kankanady Rd Opp Mangalore Nursing Home, Paramount West Gate, 5th Floor, Mangalore 575002 India",12.8715114,74.8548323
"72,Jewargi Road, Near Bhagyawanti Nagar, Gulbarga, Karnataka, Gulbarga India",17.3070468,76.8188709
"Kudle Hiiltop, Opp Kudle Beach, Gokarna 581326 India",14.5344971,74.315815
